Путь;Имя файла;Версия;Формат;Изменена (по заголовку);Записей;Из них удалённых;Полей;Длина записи;Длина заголовка;Кодовая страница;Memo-файл;Индекс;База данных (DBC);Проверка размера
ARXIV/INVEN/inv/ADRES.DBF;ADRES.DBF;0x30;Visual FoxPro;2010-03-10;4;0;2;56;360;1251 Windows Russian;;adres.CDX;;ok
ARXIV/INVEN/inv/ARXIV.DBF;ARXIV.DBF;0x8B;dBase IV с memo (.dbt);2010-03-10;46;0;2;21;97;1252 Windows ANSI;arxiv.DBT;arxiv.MDX;;ok
ARXIV/INVEN/inv/FIO.DBF;FIO.DBF;0x30;Visual FoxPro;2022-10-26;1;0;2;36;360;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/FIOARXIV.DBF;FIOARXIV.DBF;0x30;Visual FoxPro;2010-03-17;15231;0;2;46;360;1251 Windows Russian;;fioarxiv.CDX;;ok
ARXIV/INVEN/inv/FOXUSER.DBF;FOXUSER.DBF;0x30;Visual FoxPro;2004-11-18;7;0;7;48;520;1252 Windows ANSI;FOXUSER.FPT;;;ok
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;0x30;Visual FoxPro;2011-03-10;0;0;34;367;1384;1252 Windows ANSI;;mulk2.CDX;;ok
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;0x04;dBase 7;2012-12-10;0;0;33;382;1653;не указана;;MULKB.MDX;;ok
ARXIV/INVEN/inv/MULKN.DBF;MULKN.DBF;0x30;Visual FoxPro;2005-10-15;47;37;1;21;328;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/NOV.DBF;NOV.DBF;0x30;Visual FoxPro;2005-10-21;94;67;1;26;328;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/RAYON.DBF;RAYON.DBF;0x30;Visual FoxPro;2005-10-08;77;66;1;16;328;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/SVADRES.DBF;SVADRES.DBF;0x30;Visual FoxPro;2010-03-10;8;0;2;56;360;1251 Windows Russian;;svadres.CDX;;ok
ARXIV/INVEN/inv/TARIX2.DBF;TARIX2.DBF;0x30;Visual FoxPro;2011-03-10;0;0;9;116;584;1252 Windows ANSI;;tarix2.CDX;;ok
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;0x30;Visual FoxPro;2005-10-13;0;0;10;126;616;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;0x30;Visual FoxPro;2004-11-18;16542;0;30;338;1256;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;0x03;dBase III / FoxPro без memo;2005-09-07;0;0;30;348;993;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;0x03;dBase III / FoxPro без memo;2006-02-14;0;0;31;356;1025;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;0x03;dBase III / FoxPro без memo;2006-03-09;0;0;31;356;1025;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;0x03;dBase III / FoxPro без memo;2008-01-10;0;0;33;376;1089;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/_QSQL390.DBF;_QSQL390.DBF;0x03;dBase III / FoxPro без memo;2006-03-09;0;0;31;356;1025;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/_QSQL395.DBF;_QSQL395.DBF;0x03;dBase III / FoxPro без memo;2006-02-23;0;0;31;356;1025;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/_QSQL813.DBF;_QSQL813.DBF;0x03;dBase III / FoxPro без memo;2008-02-29;0;0;33;376;1089;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/_QSQL840.DBF;_QSQL840.DBF;0x03;dBase III / FoxPro без memo;2006-02-22;0;0;31;356;1025;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/_QSQL876.DBF;_QSQL876.DBF;0x03;dBase III / FoxPro без memo;2006-02-22;0;0;31;356;1025;1252 Windows ANSI;;;;в конце лишних байт: 16376
ARXIV/INVEN/inv/_QSQL973.DBF;_QSQL973.DBF;0x03;dBase III / FoxPro без memo;2006-02-14;0;0;31;356;1025;1252 Windows ANSI;;;;ok
ARXIV/INVEN/inv/__KYT982.DBF;__KYT982.DBF;0x04;dBase 7;2006-02-08;0;0;2;25;165;не указана;;;;ok
ARXIV/INVEN/inv/mulk.BAK;mulk.BAK;0x30;Visual FoxPro;2007-01-26;357516;0;31;346;1288;1252 Windows ANSI;;mulk.CDX;;ok
