Путь;Имя файла;№ поля;Имя поля;Тип;Тип (расшифровка);Длина;Знаков после запятой;Флаги
ARXIV/INVEN/inv/ADRES.DBF;ADRES.DBF;1;NOMER;N;числовой;10;0;
ARXIV/INVEN/inv/ADRES.DBF;ADRES.DBF;2;ADRES;C;символьный;45;0;
ARXIV/INVEN/inv/ARXIV.DBF;ARXIV.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/ARXIV.DBF;ARXIV.DBF;2;MATN;M;memo (текст);10;0;
ARXIV/INVEN/inv/FIO.DBF;FIO.DBF;1;DIREK;C;символьный;25;0;
ARXIV/INVEN/inv/FIO.DBF;FIO.DBF;2;PAROL;C;символьный;10;0;
ARXIV/INVEN/inv/FIOARXIV.DBF;FIOARXIV.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/FIOARXIV.DBF;FIOARXIV.DBF;2;FIO;C;символьный;35;0;
ARXIV/INVEN/inv/FOXUSER.DBF;FOXUSER.DBF;1;TYPE;C;символьный;12;0;
ARXIV/INVEN/inv/FOXUSER.DBF;FOXUSER.DBF;2;ID;C;символьный;12;0;
ARXIV/INVEN/inv/FOXUSER.DBF;FOXUSER.DBF;3;NAME;M;memo (текст);4;0;
ARXIV/INVEN/inv/FOXUSER.DBF;FOXUSER.DBF;4;READONLY;L;логический;1;0;
ARXIV/INVEN/inv/FOXUSER.DBF;FOXUSER.DBF;5;CKVAL;N;числовой;6;0;
ARXIV/INVEN/inv/FOXUSER.DBF;FOXUSER.DBF;6;DATA;M;memo (текст);4;0;
ARXIV/INVEN/inv/FOXUSER.DBF;FOXUSER.DBF;7;UPDATED;D;дата;8;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;2;KITAB;C;символьный;10;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;3;SAHIFA;C;символьный;10;0;
