Путь;Каталог;Имя файла;Расширение;Размер, байт;Изменён;Разбор;Формат по содержимому;Статус
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;ARXIV;BAğ-HESABAT(Bağçılığlar).xls;.xls;421376;2020-02-12 10:37:17;Excel;xls (BIFF8);ok
ARXIV/Ozallasma-abş-reg- yeni.xls;ARXIV;Ozallasma-abş-reg- yeni.xls;.xls;19379200;2026-07-30 04:41:10;Excel;xls (BIFF8);ok
ARXIV/PROTOKOLLAR baza bağ.xls;ARXIV;PROTOKOLLAR baza bağ.xls;.xls;80384;2026-07-14 05:56:56;Excel;xls (BIFF8);ok
ARXIV/Pasport ƏMDK-əsas.xls;ARXIV;Pasport ƏMDK-əsas.xls;.xls;2802176;2026-07-18 11:36:06;Excel;xls (BIFF8);ok
ARXIV/TORPAQ KOMİTESİ 03.06.2020 - Copy Şifrə (4687).xlsx;ARXIV;TORPAQ KOMİTESİ 03.06.2020 - Copy Şifrə (4687).xlsx;.xlsx;4972544;2026-07-30 06:50:16;Excel;OLE2, зашифрован;зашифрован паролем, структура недоступна (книга xlsx под паролем)
ARXIV/YOLDASHLIQ SIYAHISI.xls;ARXIV;YOLDASHLIQ SIYAHISI.xls;.xls;200704;2024-04-15 08:39:11;Excel;xls (BIFF8);ok
ARXIV/order.xlsx;ARXIV;order.xlsx;.xlsx;5277517;2026-07-24 07:31:27;Excel;xlsx;ok
ARXIV/Fərdi yaş və qarajlar/Balaxanı həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Balaxanı həy evi.xls;.xls;169472;2024-07-23 05:10:49;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Bilqəh-Bakıx həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Bilqəh-Bakıx həy evi.xls;.xls;219136;2025-11-14 13:15:07;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Bülbülə həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Bülbülə həy evi.xls;.xls;253440;2025-12-12 12:22:29;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Fərdi yaş ev.SS.xlsx;ARXIV/Fərdi yaş və qarajlar;Fərdi yaş ev.SS.xlsx;.xlsx;107088;2025-02-12 08:43:29;Excel;xlsx;ok
ARXIV/Fərdi yaş və qarajlar/Hövsan həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Hövsan həy evi.xls;.xls;106496;2025-12-25 12:23:08;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;ARXIV/Fərdi yaş və qarajlar;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;.xlsx;903289;2026-04-23 08:08:07;Excel;xlsx;ok
ARXIV/Fərdi yaş və qarajlar/Kürdaxanı həyət evi.xls;ARXIV/Fərdi yaş və qarajlar;Kürdaxanı həyət evi.xls;.xls;104960;2025-12-03 06:38:17;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Mərd-Şüv həyət evi.lnk;ARXIV/Fərdi yaş və qarajlar;Mərd-Şüv həyət evi.lnk;.lnk;880;2017-01-10 12:05:07;;;ok
ARXIV/Fərdi yaş və qarajlar/Mərdəkan, Şüvəlan həyət evi.xls;ARXIV/Fərdi yaş və qarajlar;Mərdəkan, Şüvəlan həyət evi.xls;.xls;539648;2026-07-06 07:13:21;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Nard-Sabuncu həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Nard-Sabuncu həy evi.xls;.xls;274432;2025-09-24 07:14:47;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Pirşağı həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Pirşağı həy evi.xls;.xls;96256;2025-10-22 05:58:57;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Qaracuxur həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Qaracuxur həy evi.xls;.xls;258560;2026-03-19 04:45:20;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Qaradağ həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Qaradağ həy evi.xls;.xls;1136640;2025-11-21 05:29:35;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Ramana həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Ramana həy evi.xls;.xls;117760;2024-12-05 08:33:49;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Surax-Əmircan hey evi.xls;ARXIV/Fərdi yaş və qarajlar;Surax-Əmircan hey evi.xls;.xls;383488;2026-07-17 08:29:45;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Türkan-Qala həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Türkan-Qala həy evi.xls;.xls;307712;2023-10-04 13:20:15;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Vişnyovka, Dübəndi, Xaşa-Xuna.xlsx;ARXIV/Fərdi yaş və qarajlar;Vişnyovka, Dübəndi, Xaşa-Xuna.xlsx;.xlsx;28571;2025-04-17 10:41:43;Excel;xlsx;ok
ARXIV/Fərdi yaş və qarajlar/Vorovski-Rəsulzadə-Biləc həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Vorovski-Rəsulzadə-Biləc həy evi.xls;.xls;496640;2026-05-19 07:36:54;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Yasamal həyət evi.xls;ARXIV/Fərdi yaş və qarajlar;Yasamal həyət evi.xls;.xls;7302656;2026-03-19 05:18:42;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Zığ həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Zığ həy evi.xls;.xls;150016;2022-12-26 07:52:18;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/binəqədi.xls;ARXIV/Fərdi yaş və qarajlar;binəqədi.xls;.xls;212480;2026-04-07 06:40:37;Excel;xls (BIFF8);ok
