Путь;Имя файла;№ листа;Имя листа;Видимость;Строка заголовка;№ колонки;Буква колонки;Заголовок колонки
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;1;Лист1;visible;1;1;A;S/S
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;1;Лист1;visible;1;2;B;Bağçılığın adı
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;1;Лист1;visible;1;3;C;Qovluqdakı sənədlər (Tarixi)
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;1;Лист1;visible;1;4;D;Siyahılar və tarixi
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;1;Лист1;visible;1;5;E;Siyahıda olan vətəndaşların sayı
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;1;Лист1;visible;1;6;F;Qeyd
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;1;Лист1;visible;1;7;G;Bağ massivinin adı
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;2;Лист2;visible;2;1;A;Bağçılığın adı
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;2;Лист2;visible;2;2;B;Qovluqdakı sənədlər (Tarixi)
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;2;Лист2;visible;2;3;C;Siyahılar və tarixi
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;2;Лист2;visible;2;4;D;Siyahıda olan vətəndaşların sayı
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;2;Лист2;visible;2;5;E;Qeyd
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;1;Baki-auksion;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;1;Baki-auksion;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;1;Baki-auksion;visible;1;3;C;Obyektin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;1;Baki-auksion;visible;1;4;D;Fiziki şəxsin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;1;Baki-auksion;visible;1;5;E;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;1;Baki-auksion;visible;1;6;F;Şəhadətnamə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;1;Baki-auksion;visible;1;7;G;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;1;Baki-auksion;visible;1;8;H;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;2;Q,yas-icara;visible;1;1;A;№
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;2;Q,yas-icara;visible;1;2;B;Rayonun adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;2;Q,yas-icara;visible;1;3;C;Obyektin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;2;Q,yas-icara;visible;1;4;D;Sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;2;Q,yas-icara;visible;1;5;E;Unvan
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;2;Q,yas-icara;visible;1;6;F;şəhadətnamə №
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;2;Q,yas-icara;visible;1;7;G;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;2;Q,yas-icara;visible;1;8;H;səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;3;Dub-Sah-al-Baki;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;3;Dub-Sah-al-Baki;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;3;Dub-Sah-al-Baki;visible;1;3;C;Obyektin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;3;Dub-Sah-al-Baki;visible;1;4;D;Fiziki şəxsin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;3;Dub-Sah-al-Baki;visible;1;5;E;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;3;Dub-Sah-al-Baki;visible;1;6;F;Şəhadətnamə №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;3;Dub-Sah-al-Baki;visible;1;7;G;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;3;Dub-Sah-al-Baki;visible;1;8;H;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;4;Torpaq;visible;1;1;A;Sıra
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;4;Torpaq;visible;1;2;B;Rayonun adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;4;Torpaq;visible;1;3;C;Alıcının adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;4;Torpaq;visible;1;4;D;Obyektin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;4;Torpaq;visible;1;5;E;Torpaq sahəsi (kv.m.)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;4;Torpaq;visible;1;6;F;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;4;Torpaq;visible;1;7;G;Şəhadətnamə №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;4;Torpaq;visible;1;8;H;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;4;Torpaq;visible;1;9;I;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;5;Birge Mus.-BM;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;5;Birge Mus.-BM;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;5;Birge Mus.-BM;visible;1;3;C;Şəhadətnamə verilir (Hüquqi şəxsi adı, fiziki şəxsin S.A.A.)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;5;Birge Mus.-BM;visible;1;4;D;Əmlak
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;5;Birge Mus.-BM;visible;1;5;E;Ünvan
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;5;Birge Mus.-BM;visible;1;6;F;Şəhadətnamə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;5;Birge Mus.-BM;visible;1;7;G;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;5;Birge Mus.-BM;visible;1;8;H;səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;6;Investisiya-sahadatnama;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;6;Investisiya-sahadatnama;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;6;Investisiya-sahadatnama;visible;1;3;C;Şəhadətnamə verilir (Hüquqi şəxsi adı, fiziki şəxsin S.A.A.)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;6;Investisiya-sahadatnama;visible;1;4;D;Əmlak
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;6;Investisiya-sahadatnama;visible;1;5;E;Ünvan
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;6;Investisiya-sahadatnama;visible;1;6;F;Şəhadətnamə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;6;Investisiya-sahadatnama;visible;1;7;G;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;6;Investisiya-sahadatnama;visible;1;8;H;səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;7;Rayon-sah-alava;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;7;Rayon-sah-alava;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;7;Rayon-sah-alava;visible;1;3;C;Obyektin adı
