Путь;Имя файла;№ листа;Имя листа;Видимость;Тип листа;Строка заголовка;Диапазон;Кол-во колонок;Заголовки;Заголовок: статус;Ошибка
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;1;Лист1;visible;worksheet;1;A1:AI571;7;S/S | Bağçılığın adı | Qovluqdakı sənədlər (Tarixi) | Siyahılar və tarixi | Siyahıda olan vətəndaşların sayı | Qeyd | Bağ massivinin adı;найден;
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;2;Лист2;visible;worksheet;2;A1:K256;5;Bağçılığın adı | Qovluqdakı sənədlər (Tarixi) | Siyahılar və tarixi | Siyahıda olan vətəndaşların sayı | Qeyd;найден;
ARXIV/BAğ-HESABAT(Bağçılığlar).xls;BAğ-HESABAT(Bağçılığlar).xls;3;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;1;Baki-auksion;visible;worksheet;1;A1:N5747;8;Sıra №-si | Rayon | Obyektin adı | Fiziki şəxsin adı | Ünvanı | Şəhadətnamə | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;2;Q,yas-icara;visible;worksheet;1;A1:J7939;8;№ | Rayonun adı | Obyektin adı | Sahəsi | Unvan | şəhadətnamə № | Qovluq | səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;3;Dub-Sah-al-Baki;visible;worksheet;1;A1:J115;8;Sıra №-si | Rayon | Obyektin adı | Fiziki şəxsin adı | Ünvanı | Şəhadətnamə №-si | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;4;Torpaq;visible;worksheet;1;A1:K3051;9;Sıra | Rayonun adı | Alıcının adı | Obyektin adı | Torpaq sahəsi (kv.m.) | Ünvanı | Şəhadətnamə №-si | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;5;Birge Mus.-BM;visible;worksheet;1;A1:I40;8;Sıra №-si | Rayon | Şəhadətnamə verilir (Hüquqi şəxsi adı, fiziki şəxsin S.A.A.) | Əmlak | Ünvan | Şəhadətnamə | Qovluq | səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;6;Investisiya-sahadatnama;visible;worksheet;1;A1:I43;8;Sıra №-si | Rayon | Şəhadətnamə verilir (Hüquqi şəxsi adı, fiziki şəxsin S.A.A.) | Əmlak | Ünvan | Şəhadətnamə | Qovluq | səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;7;Rayon-sah-alava;visible;worksheet;1;A1:I1840;8;Sıra №-si | Rayon | Obyektin adı | Fiziki şəxsin adı | Ünvanı | Şəhadətnamə №-si | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;8;avadanliqlar-arayis;visible;worksheet;1;A1:I193;8;Sıra №-si | Rayon | Obyektin adı | Fiziki şəxsin adı | Ünvanı | Arayışın №-si | Qovluq | Səhifə;найден;
